name,price,rpm,color,size,
Thermalright Peerless Assassin 120 SE,33.9,1550,Black,,
NZXT Kraken Elite 360 RGB,273.99,"5,001,800",White,360,
Deepcool GAMMAXX AG400 ARGB,29.99,"5,002,000",Black,,
Corsair iCUE H150i ELITE CAPELLIX XT,189.99,"5,502,100",Black,360,
Cooler Master MASTERLIQUID ML240L RGB V2,99.99,"6,501,800",Black,240,
Noctua NH-D15 chromax.black,119.95,"3,001,500",Black,,
NZXT Kraken 240,120.99,"5,001,800",Black,240,
Thermalright Phantom Spirit 120 SE,35.9,1500,Black / Silver,,
Deepcool AK620 ZERO DARK,61.98,"5,001,850",Black,,
ARCTIC Liquid Freezer III,116.99,"2,001,800",Black,360,
Cooler Master Hyper 212 Black Edition,29.99,"6,502,000",Black,,
NZXT Kraken Elite 360 RGB,275.99,"5,001,800",Black,360,
Deepcool LS720 SE WH,97.99,"5,002,250",White,360,
Thermalright Assassin X 120 Refined SE,17.89,1550,Black / Silver,,
Deepcool LS720 SE,92.18,"5,002,250",Black,360,
Thermalright Peerless Assassin 120 SE WHITE ARGB,36.99,1550,White,,
Noctua NH-D15,109.95,"3,001,500",,,
Corsair iCUE H100x RGB ELITE,99.99,1500,Black,240,
Thermalright Phantom Spirit 120 SE ARGB,36.9,1500,Black / Silver,,
Corsair iCUE H100i RGB ELITE,119.99,"4,001,850",Black,240,
Deepcool AK400,33.49,"5,001,850",Black / Silver,,
ID-COOLING SE-214-XT,17.98,"5,001,500",Black,,
ARCTIC Liquid Freezer III,99.99,"2,001,800",Black,240,
Corsair iCUE H150i ELITE LCD XT,249.99,"5,502,100",Black,360,
Noctua NH-U12S chromax.black,89.95,"3,001,500",Black,,
NZXT Kraken 360,,"5,001,800",Black,360,
NZXT Kraken 240 RGB,172.99,"5,001,800",White,240,
be quiet! Pure Rock 2 Black,37.9,1500,Black,,
Deepcool LT720,106.24,"5,002,250",Black / Gray,360,
NZXT Kraken Elite 360,266.99,"5,001,800",Black,360,
AMD Wraith Prism,56,2800,,,
ARCTIC Liquid Freezer III A-RGB,139.99,"2,002,000",Black,360,
Corsair H105,869.03,"8,002,700",,240,
Thermalright Frozen Notte ARGB,53.9,2000,Black,240,
Thermalright Frozen Notte ARGB,66.9,2000,White,360,
NZXT Kraken 360 RGB,256.54,"5,001,800",White,360,
Deepcool AK620 DIGITAL,73.98,"5,001,850",Black,,
be quiet! Dark Rock Pro 5,79.9,"13,002,000",Black,,
Lian Li Galahad II Trinity SL-INF,169.95,2100,Black,360,
Cooler Master MasterLiquid 360L Core ARGB,85.67,"3,501,750",Black,360,
Noctua NH-U12A chromax.black,129.94,"4,502,000",Black,,
Lian Li Galahad II Trinity SL-INF,164.99,2100,White,360,
Thermalright Frozen Notte ARGB,64.9,2000,Black,360,
Thermalright Assassin X Refined SE ARGB,18.89,1550,Black / Silver,,
Thermalright Phantom Spirit EVO,,2150,Black,,
Thermalright Peerless Assassin 120 SE ARGB,33.9,1550,Black,,
Intel E97379-001,8.99,"12,002,800",Silver / Black,,
Deepcool AK400 DIGITAL,46.77,"5,001,850",Black,,
Noctua NH-L9A-AM5 CHROMAX.BLACK,54.95,"6,002,500",Black,,
Asus ROG Ryujin III ARGB,339.99,"6,002,200",Black,360,
Deepcool AK400,33.7,"5,001,850",White,,
NZXT Kraken 360 RGB,219.99,"5,001,800",Black,360,
Thermalright Assassin King SE ARGB,20.09,1550,White,,
NZXT Kraken 240 RGB,160.99,"5,001,800",Black,240,
Deepcool LS520 SE,74.99,"5,002,250",Black,240,
Corsair iCUE H150i ELITE CAPELLIX XT,199.99,"5,502,100",White,360,
ARCTIC Liquid Freezer III A-RGB,142.99,"2,002,000",White,360,
be quiet! Dark Rock Pro 4,,1500,Black,,
Noctua NH-L9i-17xx chromax.black,54.95,"6,002,500",Black,,
Lian Li Galahad II LCD SL-INF,280.62,,Black,360,
Deepcool AK620,54.99,"5,001,850",White,,
Noctua NH-L9a-AM4,44.95,"6,002,500",Brown,,
Lian Li Galahad II LCD SL-INF,269.99,,White,360,
Deepcool AK620,54.99,"5,001,850",Black / Silver,,
Thermalright Frozen Notte ARGB,50.9,2000,White,240,
Deepcool AK400 ZERO DARK,39.98,"5,001,850",Black,,
Deepcool AK500 ZERO DARK,45.98,"5,001,850",Black,,
Deepcool LT720 WH,99.99,"5,002,250",White,360,
ARCTIC Freezer 36,36.99,"2,001,800",Black,,
Cooler Master Hyper 212 RGB Black Edition,56.99,"6,502,000",,,
Noctua NH-L12S,64.9,"4,501,850",,,
Deepcool LT520,84.69,"5,002,250",Black / Gray,240,
Cooler Master Hyper 212 Spectrum V3,20.98,"6,501,750",Black / Silver,,
Asus ROG RYUJIN II,499,"4,502,000",Black,360,
be quiet! Dark Rock 4,109.67,1400,Black,,
Corsair iCUE H100i ELITE CAPELLIX XT,144.99,"5,502,100",Black,240,
ARCTIC Liquid Freezer III,111.99,"2,001,700",Black,280,
Deepcool ASSASSIN IV,84.99,"5,001,700",Black,,
Corsair iCUE LINK H150i LCD,224.99,"4,802,400",Black,360,
Lian Li Galahad II Trinity,119,2450,White,360,
Corsair iCUE H150i ELITE LCD XT,259.99,"5,502,100",White / Gray,360,
ARCTIC Liquid Freezer III,127.99,"2,001,700",Black,420,
Thermalright AXP90-X47,22.9,2700,Black,,
ARCTIC Liquid Freezer II 280,94.99,"2,001,700",Black,280,
NZXT T120 RGB,49.99,"5,001,800",Black,,
be quiet! Pure Rock Slim 2,24.9,,Black / Silver,,
Asus ROG STRIX LC II ARGB,129.99,"8,002,500",Black,360,
Noctua NH-D9L,54.95,"4,002,000",,,
Cooler Master MasterLiquid ML240L ARGB V2,59.99,"6,501,800",Black,240,
Thermalright Assassin Spirit 120 EVO,22.9,2000,Black,,
Thermalright Phantom Spirit,37.9,1500,Black / Silver,,
Deepcool LS720,139,"5,002,250",Black,360,
NZXT Kraken Elite 240,159.99,"5,001,800",Black,240,
Noctua NH-U9S chromax.black,69.95,"4,002,000",Black,,
Noctua NH-L9A-AM5,44.95,"6,002,500",Brown / Silver,,
Corsair iCUE H150i RGB ELITE,179.99,"4,001,850",Black,360,
Corsair iCUE LINK H150i LCD,284.99,"4,802,400",White,360,
Thermalright Assassin X SE,16.89,2200,Black / Silver,,
Noctua NH-D15S chromax.black,109.95,"3,001,500",Black,,
NZXT Kraken Z73,379,"5,001,800",Black,360,
NZXT Kraken Elite 280 RGB,189.99,"5,001,500",White,280,
NZXT Kraken Elite 240 RGB,236.76,"5,001,800",White,240,
Cooler Master Hyper 212 (2023),29.99,"6,902,500",Black,,
Noctua NH-L9x65 chromax.black,69.9,"6,002,500",Black,,
ID-COOLING SE-214-XT,17.98,"5,001,500",White,,
MSI MAG CORELIQUID 360R V2,104,"5,002,000",Black,360,
Cooler Master Hyper 212 Black Edition,92.99,"8,002,000",,,
Cooler Master MASTERLIQUID ML120L RGB V2,59.99,"6,501,800",Black,120,
Corsair iCUE H150i ELITE LCD,399,"4,502,000",Black,360,
Thermalright Assassin X Refined SE ARGB,19.29,1550,White / Silver,,
Corsair iCUE LINK H150i RGB,204.99,"4,802,400",Black,360,
Noctua NH-L9i chromax.black,54.95,"6,002,500",Black,,
Deepcool MYSTIQUE,179.99,"5,002,150",Black,360,
ARCTIC Liquid Freezer II 360,,"8,002,000",Black,360,
NZXT T120 RGB,39.99,"5,001,800",White,,
ARCTIC Liquid Freezer II 420,109.99,"2,001,700",Black,420,
Deepcool AK400 ZERO DARK PLUS,44.99,"5,001,650",Black,,
Iceberg Thermal IceFLOE T95,9.99,"10,002,200",Teal / Silver,,
ID-COOLING IS-55 Black,39.99,"5,002,000",Black,,
NZXT Kraken 280,144.99,"5,001,500",Black,280,
ARCTIC Liquid Freezer II 240,,"2,001,800",Black,240,
Thermalright Aqua Elite V3,55.9,1500,White,360,
ID-COOLING FROZN A410 BLACK,29.99,"5,002,000",Black,,
Thermalright Peerless Assassin,32.9,1550,Gray,,
Corsair iCUE H100i ELITE CAPELLIX XT,179.99,"5,502,100",White,240,
Noctua NH-U12A,119.95,"4,502,000",Brown,,
Thermalright Peerless Assassin 120 Black,46.9,1550,Black,,
Corsair iCUE H170i ELITE CAPELLIX,331.98,2000,Black,420,
Lian Li Galahad II Trinity Performance,159.99,"23,003,000",Black,360,
Thermalright AXP90-X47,35.9,2700,Orange / Brown,,
NZXT Kraken 120,79.98,"5,002,000",Black,120,
Thermalright Aqua Elite V3,49.9,1500,Black,240,
Corsair iCUE H150i ELITE CAPELLIX,286.95,2400,Black,360,
Cooler Master MasterLiquid 240L Core ARGB,79.99,"3,501,750",Black,240,
Asus ROG Ryujin III,342.96,"6,002,200",White,360,
Scythe Fuma 3,49.99,"2,001,500",Black / Silver,,
ID-COOLING FROSTFLOW X,54.99,"7,001,800",,240,
NZXT Kraken Z73 RGB,369.99,"5,001,500",White / Black,360,
Thermalright Frozen Edge,43.9,2150,Black,240,
ARCTIC Liquid Freezer III A-RGB,105.9,"2,002,000",Black,240,
Deepcool LE720,160.99,"5,002,250",Black,360,
Cooler Master Hyper 212 EVO,80.26,"6,002,000",,,
Corsair iCUE H170i ELITE LCD XT,299.99,"5,001,700",Black,420,
Corsair iCUE H60x RGB ELITE,79.99,1500,Black,120,
Deepcool GAMMAXX AG400 ARGB,29.99,"5,002,000",White,,
Asus ROG RYUJIN III 360 ARGB EVA-02 EDITION,,"6,002,200",Red / Black,360,
EK EK-Nucleus AIO CR360 Lux D-RGB,167.95,"5,502,300",Black,360,
NZXT Kraken X53,212.43,"5,002,000",Black,240,
Noctua NH-L9i-17xx,44.95,"6,002,500",Brown / Beige,,
Deepcool AK620 DIGITAL WH,80.98,"5,001,850",White,,
MSI MAG CORELIQUID 240R V2,87.43,"5,002,000",Black,240,
Thermalright Assassin X 120 PLUS V2,21.79,1500,Black / Silver,,
be quiet! Pure Rock 2 FX,47.9,,Black,,
be quiet! Pure Loop 2 FX,129.9,,Black,360,
HYTE THICC Q60,299.99,,White / Black,280,
Thermalright Aqua Elite V3,56.9,1500,Black,360,
Deepcool AG400,21.99,"5,002,000",Black / Silver,,
ARCTIC Liquid Freezer III A-RGB,149.99,"2,001,900",Black,420,
Thermalright Frozen Prism ARGB,60.59,1850,Black,360,
Vetroo V5,27.99,"8,001,700",Black,,
Noctua NH-U12S redux,54.95,"4,501,700",Gray / Silver,,
Deepcool LS520 SE WH,77.98,"5,002,250",White,240,
Cooler Master Hyper 212 Halo,34.4,"6,502,050",Black,,
NZXT Kraken Elite 280,169.99,"5,001,500",Black,280,
Thermaltake UX100,11.99,1800,Black,,
Noctua NH-L9i,44.95,"6,002,500",Brown,,
Asus ProArt LC 420,269.99,"8,002,000",Black,420,
Cooler Master MasterLiquid 360L Core ARGB,89.99,"3,501,750",White,360,
Deepcool LS720S ZERO DARK,99.99,"5,002,250",Black,360,
Asus TUF Gaming LC II ARGB,109.99,"8,002,000",Black,360,
ARCTIC Liquid Freezer III A-RGB,116.99,"2,002,000",White,240,
Thermalright Aqua Elite V3,44.99,1500,White,240,
Thermalright AXP90-X47,22.9,2700,White,,
StarTech FAN775E,14.77,2600,,,
Thermalright AXP90-X47,20.9,2700,Gray,,
Thermalright Assassin Spirit 120 EVO DARK,20.59,1850,Black,,
Thermalright Peerless Assassin 120 White,44.9,1550,White,,
Cooler Master MasterLiquid 240L Core ARGB,79.99,"3,501,750",White,240,
Noctua NH-U9S,59.95,"4,002,000",,,
Thermalright Assassin X 90 SE ARGB,17.89,2200,Black / Silver,,
EK Nucleus AIO CR240 Dark,120.87,"5,502,300",Black,240,
Thermalright Frozen Magic Scenic V2,,2150,White,360,
Deepcool ASSASSIN IV,84.99,"5,001,700",White,,
NZXT Kraken Z63,229.99,"5,001,800",Black,280,
Deepcool LE520,91.11,"5,002,250",Black,240,
Noctua NH-L9x65,59.95,"6,002,500",,,
Deepcool Assassin 4S,79.99,"5,001,800",Black,,
ID-COOLING SE-903-XT,14.99,"5,002,200",Black,,
Thermalright Frozen Prism,56.9,1850,Black,360,
Corsair H150,,1500,Black,360,
be quiet! Pure Rock 2,34.9,1500,Silver / Black,,
NZXT Kraken Elite 280 RGB,189.99,"5,001,500",Black,280,
Deepcool LT520 WH,79.89,"5,002,250",White,240,
Cooler Master Hyper 212 Halo,28.99,"6,502,050",White,,
ARCTIC Freezer 34 eSports DUO,48.3,"2,002,100",White / Black,,
Noctua NH-L9a-AM4 chromax.black,54.95,"6,002,500",Black,,
ARCTIC Freezer 36 A-RGB,38.99,"2,002,000",Black,,
Lian Li Galahad II Trinity,149.99,2450,Black,360,
ID-COOLING IS-47-XT,29.99,"8,002,800",Black,,
Cooler Master MasterLiquid ML360L ARGB V2,99.99,"6,501,800",Black,360,
ID-COOLING FROZN A620 BLACK,44.99,"5,002,000",Black,,
ARCTIC Liquid Freezer II 360 A-RGB,204.9,"2,001,800",Black / Gray,360,
NZXT Kraken Elite 240 RGB,225.99,"5,001,800",Black,240,
ARCTIC Freezer 36,32.99,"2,001,800",Black / Silver,,
MSI MAG CORELIQUID P240,75,"5,002,000",Black,240,
Corsair iCUE LINK H170i LCD,244.99,"4,002,000",Black,420,
Corsair H100,,1500,Black,240,
Thermaltake Water 3.0 Ultimate,,"10,002,000",,360,
ID-COOLING FROSTFLOW X,59.99,"8,001,600",Black / Silver,280,
Noctua NH-D12L,89.95,"4,502,000",Beige / Brown,,
be quiet! Dark Rock Elite,99.9,"15,002,000",Black,,
ARCTIC Liquid Freezer III A-RGB,127.99,"2,001,900",Black,280,
Thermalright Frozen Prism ARGB,47.9,1850,White,240,
Thermalright Assassin X Refined SE,18.89,1550,White / Silver,,
ARCTIC Freezer 7 X,22.99,"3,002,000",Black / White,,
EK Nucleus AIO CR360 Dark,237.77,"5,502,300",Black,360,
Corsair iCUE H100i ELITE LCD XT,219.99,"5,502,100",Black,240,
Lian Li Galahad II Trinity,116.73,2450,Black,240,
Asus ROG STRIX LC II ARGB,144.99,"8,002,500",White / Black,360,
Corsair iCUE H150i RGB ELITE,164.99,"4,001,850",White,360,
Noctua NH-U12S,74.95,"3,001,500",,,
Corsair H100i v2,310.82,2435,,240,
Thermalright Assassin Spirit V2,,1500,Gray,,
Deepcool AK400 DIGITAL WH,46.98,"5,001,850",White,,
Vetroo V240,59.99,1800,Black,240,
Deepcool AK500 DIGITAL,58.98,"5,001,850",Black,,
Noctua NH-D12L CHROMAX.BLACK,99.9,"4,502,000",Black,,
be quiet! Pure Loop 2 FX,89.9,,Black,240,
Phanteks GLACIER ONE 360D30,179.99,"2,502,000",Black,360,
Thermalright Assassin Spirit 120 EVO WHITE ARGB,20.9,1850,White,,
NZXT Kraken X63,,"5,002,000",Black,280,
