name,price,memory,core_clock,color
MSI GeForce RTX 3060 Ventus 2X 12G,288,12,1320,Black
Gigabyte WINDFORCE OC,581.19,12,1920,Black
Asus ROG STRIX GAMING OC,1979.99,24,2235,Black
Gigabyte WINDFORCE OC,799.99,16,2340,Black
Asus DUAL OC,309.99,8,1830,Black
Gigabyte GAMING OC,499,16,1295,Black
Gigabyte WINDFORCE OC,599.99,12,1980,Black
ASRock Challenger D,219.99,8,1626,Black
PNY VCNRTX6000ADA-PB,9999,48,915,Black / Gold
XFX Speedster SWFT 309,299.99,12,2321,Black
NVIDIA Founders Edition,1959.99,24,2230,Black / Silver
Gigabyte EAGLE,399.99,8,2310,Black
XFX Speedster SWFT 210 Core,219.99,8,2055,Black / Silver
Asus ROG STRIX GAMING OC,1979.99,24,2235,White
Gigabyte AERO OC,319.99,8,1830,White
Asus TUF GAMING,1369,16,2210,Black
Gigabyte EAGLE,199.99,8,1626,Black / Silver
Gigabyte GAMING OC,409.99,12,1700,Black
XFX Speedster MERC 310 Black Edition,916.94,24,2300,Black / Silver
XFX Speedster SWFT 319,359.99,16,1700,Black
Asus DUAL OC,609,12,1980,Black
MSI VENTUS 2X BLACK OC,293,8,1830,Black
XFX GTS XXX,129.99,8,1366,Black / Red
Gigabyte WINDFORCE OC,299.99,8,1830,Black
Sapphire PULSE,699.99,20,2000,Black / Red
Asus TUF GAMING OC,839.99,16,2340,Black
Asus DUAL OC,604.47,12,2520,Black
MSI RTX 3060 Ventus 3X 12G OC,299.99,12,1320,Black
ASRock Challenger OC,399.99,12,1700,Black
Asus ROG Matrix Platinum,4699,24,2670,Black / Silver
Asus DUAL OC,569.99,12,2520,White
Zotac GAMING Trinity,1087.93,16,2210,Black
XFX Speedster QICK 319 Core,299.99,12,2150,Black
Asus DUAL OC,384.99,8,2310,Black
MSI VENTUS 3X OC,1029.99,16,2210,Black
Zotac GAMING Trinity OC,839.99,16,2340,White
Sapphire PULSE,519.99,16,1295,Black / Red
Gigabyte GAMING OC,549.99,16,1270,Black
Gigabyte AERO OC,679.99,12,1980,White / Silver
Gigabyte GAMING OC,329.99,16,1720,Black / Gray
Asus TUF GAMING OC,1779,24,2235,Black
Sapphire NITRO+,1029.99,24,2300,Silver / Black
NVIDIA Founders Edition,485,8,1410,Black / Silver
Sapphire PURE,539.99,16,1295,White
Sapphire PULSE,929.99,24,2300,Black / Red
Gigabyte WINDFORCE V2,1233,16,2210,Black
Sapphire PULSE,399.99,12,1700,Black / Red
Asus ProArt OC,1149.99,16,2210,Black / Gold
ASRock Challenger OC,499.99,16,1295,Black
Gigabyte GAMING OC,1799.99,24,2235,Black
Sapphire PULSE,549.99,16,1270,Black / Red
PowerColor Fighter,199.99,8,1626,Black
NVIDIA Founders Edition,714.99,12,1920,Black / Silver
Asus ROG STRIX GAMING OC,1299.99,16,2210,White
Zotac GAMING Trinity,779.99,16,2340,Black
Asus TUF GAMING OC,1099.99,16,2210,Black
MSI VENTUS 2X BLACK OC,479.06,16,2310,Black
NVIDIA Founders Edition,,12,1980,Black / Silver
XFX Speedster SWFT 210,199.99,8,1626,Black
MSI VENTUS 2X OC,179.99,6,1040,Black
Asus TUF GAMING,,16,2340,Black
Zotac GAMING Trinity OC,1069.99,16,2210,White
Zotac Twin Edge,589.99,12,1980,Black
Sapphire PULSE,269.99,8,1720,Black / Red
Asus Dual GeForce RTX 3060 V2 OC Edition,289.99,12,1320,Black
Asus ROG STRIX GAMING OC,1249.99,16,2210,Black
NVIDIA Founders Edition,,16,2210,Black
Gigabyte GAMING OC Rev 2.0,534.99,8,1500,Black
XFX RX-79GMERCB9,540.53,16,1270,Black
Gigabyte WINDFORCE OC,819.99,12,2310,Black / Silver
PNY VERTO OC,999.98,16,2210,Black
XFX Speedster SWFT 319 Core,399.99,16,1700,Black
PowerColor Hellhound,949.99,24,2300,Black
ASRock Phantom Gaming OC,699.99,20,2000,Black
Sapphire PURE,419.99,12,1700,White
XFX Speedster QICK 319 Core,499.99,16,1295,Black
MSI GAMING X SLIM,849.99,16,2340,Black / Silver
ASRock Phantom Gaming OC,709.99,20,2000,White
MSI VENTUS 3X OC,619.99,12,1980,Black
Asus DUAL,599.99,12,2475,Black
MSI SUPRIM LIQUID X,1899,24,2235,Black / Silver
Gigabyte AERO OC,879.99,16,2340,White / Silver
PowerColor Hellhound OC,519.99,16,1295,Black
Asus ProArt OC,509.99,16,2310,Black / Gold
Gigabyte EAGLE OC,304.99,8,1830,Black
Asus TUF GAMING OC,859.99,16,2340,White
XFX Speedster SWFT 210 Core,259.99,8,1875,Black
Gigabyte AERO OC,1149.99,16,2210,White / Silver
Gigabyte AERO OC,427.99,8,2310,White / Silver
Gigabyte AERO OC,1849.72,24,2520,Silver / White
Asus TUF GAMING,2189.98,24,2235,Black
ASRock Challenger D OC,239.99,8,1968,Black
ASRock Radeon RX6700XT CLD 12G,,12,2321,Black
Sapphire NITRO+,569.99,16,1295,Black
MSI VENTUS 2X OC,304.99,8,1830,White / Silver
Sapphire PURE,559.99,16,1270,White
Gigabyte GAMING OC,599,12,1980,Black
Asus DUAL OC,619.99,12,1980,White
EVGA FTW3 ULTRA GAMING,719.99,10,1440,Black
Gigabyte GAMING OC,1099.99,16,2210,Black
MSI VENTUS XS OC,299.89,6,1530,Black / Silver
ASRock Challenger,224.99,8,1626,White
MSI GAMING X SLIM,703.09,12,1920,Black / Gray
Zotac GAMING Twin Edge OC,599.99,12,1980,Black
MSI VENTUS 2X XS OC,199.99,8,1550,Black / Gray
PNY VERTO OC,799.99,16,2340,Black
ASRock Challenger Pro OC,379.99,12,2150,Black
NVIDIA Founders Edition,1389.99,16,2210,Black / Silver
Zotac GAMING Twin Edge OC,319.99,8,1830,White
MSI VENTUS 2X OC,259,8,1320,Black
Asus DUAL OC,179.99,6,1040,Black
MSI GAMING TRIO CLASSIC,999.99,24,2300,Black / Silver
Asus DUAL V2,229.99,8,1626,Black
Gigabyte GAMING OC Rev 2.0,385.33,12,1320,Black / Gray
ASRock Challenger D OC,199.99,8,1650,Black / Yellow
XFX Speedster QICK 319 Core,349.99,12,2150,Black / Silver
XFX Speedster MERC 310,699.99,20,2000,Black / Silver
Gigabyte GAMING OC,309.99,8,1830,Black
MSI GAMING X SLIM,604.99,12,1980,Black
MSI GeForce RTX 2060 VENTUS GP OC,329,6,1365,Gray / Black
ASRock Taichi OC,1149.99,24,2300,White
NVIDIA Founders Edition,,8,2310,Black / Silver
Gigabyte WINDFORCE V2,1949.95,24,2235,Black
Asus TUF GAMING OC,649.99,12,2550,Black
NVIDIA Founders Edition,939.99,12,1370,Silver / Black
Asus TUF GAMING OC,700.09,16,1295,Black
MSI GeForce RTX 3060 Ti GAMING X,,8,1410,Black / Silver
Gigabyte AERO OC,514.99,16,2310,White / Silver
Gigabyte EAGLE OC,829.99,16,2340,Black
Asus TUF GAMING OC,999.99,12,2310,Black
ASRock Challenger OC,169.99,8,1700,Black
Asus Phoenix OC,215.43,4,1410,Black
Asus DUAL OC,339.99,16,1720,Black
MSI VENTUS 2X OC,544.99,12,1920,White / Silver
Gigabyte GAMING OC,919.99,24,2300,Black
Acer Predator BiFrost OC,349.99,16,2200,Black / Silver
XFX Speedster MERC 310 Black Edition,729.99,20,2000,Black / Silver
Asus TUF GAMING OC,1069.99,24,2300,Black
Gigabyte WINDFORCE OC,623.16,16,2310,Black / Silver
MSI GAMING X SLIM,1099.99,16,2210,Black
Sapphire PULSE,339.99,16,1720,Black / Red
Intel Limited Edition,231.57,8,2050,Black
Zotac Twin Edge OC,299.99,8,1830,Black / Silver
NVIDIA Founders Edition,,8,1500,Black
PNY RTX A-Series,4539.99,48,1455,Black / Gold
ASRock Challenger OC,549.99,16,1270,Black
Gigabyte WINDFORCE OC Rev 2.0,294.99,12,1320,Black
MSI RTX 4090 GAMING SLIM 24G,1799.99,24,2235,Black
Sapphire NITRO+,599.99,16,1270,Black
MSI GAMING X TRIO,1819.99,24,2235,Black
XFX Speedster MERC 319 Black,509.99,16,1295,Black / Silver
NVIDIA 9001G4112520001,214.99,8,1506,Black / Silver
MSI VENTUS 2X OC,599.99,12,1980,Black
Asus DUAL OC,309.99,8,1830,White
Sapphire PULSE,199.99,8,1626,Black / Red
ASRock Phantom Gaming D OC,139.99,4,2365,Black
Sapphire PULSE,133.44,4,1100,Black / Red
MSI GT 710 2GD3H LP,62.53,2,954,Black
Asus ROG STRIX GAMING OC,949.99,16,2340,Black
Gigabyte EAGLE OC,599.99,12,1980,Black
PowerColor Fighter,329.99,16,1720,Black
XFX Speedster SWFT 210,319.99,16,1720,Black
MSI D6 VENTUS XS OCV3,139.99,4,1410,Silver / Black
MSI GAMING X,319.99,8,1830,Black
MSI VENTUS 2X BLACK OC,389.99,8,2310,Black
Gigabyte GAMING OC,829.99,16,2340,Black
ASRock Steel Legend OC,689.99,16,1295,White
MSI VENTUS 3X OC,781.33,12,2310,Silver / Black
Asus DUAL OC,499.99,16,1295,Black
MSI SUPRIM X,2384.81,24,2235,Black / Silver
EVGA FTW3 ULTRA GAMING,660.04,8,1575,Black
MSI SUPRIM X,1199.99,16,2210,Silver / Black
MSI GeForce RTX 3080 VENTUS 3X 10G OC,844.99,10,1440,Black
MSI EXPERT,1049.99,16,2210,Copper / Black
PowerColor Hellhound OC,579.99,16,1270,Black
MSI GAMING X SLIM,1859,24,2235,Black
MSI GT 710 2GD3 LP,49,2,954,Black
Zotac GAMING Twin Edge,885.98,12,1320,Black
Asus ProArt OC,859.99,16,2340,Black / Gold
Gigabyte AORUS XTREME WATERFORCE,1999.99,24,2235,Black
