name,price,speed,color,,
Corsair Vengeance LPX 16 GB,38.99,"43,200",Black / Yellow,,
Corsair Vengeance 32 GB,113.99,"55,600",Black,,
G.Skill Trident Z5 RGB 32 GB,117.99,"56,000",Black,,
Corsair Vengeance 32 GB,114.99,"56,000",Black / Gray,,
Corsair Vengeance RGB Pro 32 GB,94.99,"43,600",Black,,
G.Skill Trident Z5 RGB 64 GB,217.99,"56,400",Black / Silver,,
Corsair Vengeance LPX 32 GB,69.98,"43,600",Black / Yellow,,
Corsair Vengeance RGB 32 GB,127.99,"56,000",White,,
TEAMGROUP T-Force Delta RGB 32 GB,106.99,"56,000",White,,
TEAMGROUP T-Force Delta RGB 32 GB,106.99,"56,000",Black,,
Corsair Vengeance RGB Pro 16 GB,55.99,"43,200",Black,,
Corsair Vengeance 16 GB,74.98,"55,200",Black,,
G.Skill Flare X5 32 GB,102.99,"56,000",Black,,
G.Skill Trident Z5 Neo RGB 32 GB,112.99,"56,000",Black,,
Silicon Power GAMING 16 GB,32.97,"43,200",Black / Gray,,
Corsair Vengeance 64 GB,159.99,"55,200",Black,,
G.Skill Ripjaws V 16 GB,3914.75,"44,800",Black,,
G.Skill Flare X5 32 GB,104.99,"56,000",Black,,
TEAMGROUP T-Create Expert 32 GB,97.99,"56,000",Black,,
G.Skill Ripjaws V 16 GB,37,"43,200",Black,,
TEAMGROUP T-Force Vulcan Z 16 GB,32.99,"43,200",Black,,
Corsair Vengeance RGB 32 GB,134.99,"56,000",Black,,
Corsair Vengeance RGB 32 GB,109.99,"56,000",Black,,
Corsair Vengeance LPX 16 GB,49.99,"43,600",Black,,
G.Skill Ripjaws V 32 GB,66.98,"43,200",Black,,
Corsair Dominator Titanium 64 GB,309.99,"56,600",White,,
G.Skill Flare X5 32 GB,96.99,"56,000",Black,,
Corsair Vengeance LPX 32 GB,66.98,"43,200",Black / Yellow,,
Corsair Vengeance 32 GB,94.99,"55,200",Black,,
G.Skill Ripjaws S5 32 GB,109.99,"56,000",Black,,
Corsair Vengeance RGB 64 GB,224.99,"56,000",Black,,
TEAMGROUP T-Force Vulcan Z 32 GB,57.99,"43,600",Black,,
Corsair Vengeance RGB Pro SL 32 GB,82.99,"43,600",White / Black,,
Kingston FURY Beast RGB 16 GB,,"56,000",Black,,
TEAMGROUP T-Force Vulcan Z 32 GB,52.75,"43,200",Gray,,
Silicon Power Value Gaming 32 GB,94.97,"56,000",Black,,
Silicon Power GAMING 32 GB,51.49,"43,200",Black,,
G.Skill Trident Z5 Neo 64 GB,209.99,"56,000",Black / Silver,,
Corsair Vengeance RGB 32 GB,124.99,"56,000",Gray,,
Kingston FURY Beast 16 GB,49.19,"43,200",Black,,
G.Skill Trident Z5 RGB 32 GB,132.99,"57,200",Black,,
Corsair Vengeance LPX 64 GB,129.99,"43,200",Black / Yellow,,
TEAMGROUP T-Force Delta RGB 32 GB,69.98,"43,600",White,,
Kingston FURY Beast 32 GB,119.99,"56,000",Black,,
Corsair Vengeance RGB Pro 16 GB,62.99,"43,200",White,,
G.Skill Trident Z5 RGB 32 GB,109.99,"56,400",Black,,
Corsair Dominator Titanium 64 GB,309.99,"56,600",Black,,
Corsair Vengeance RGB 128 GB,459.99,"55,600",Black,,
G.Skill Trident Z RGB 32 GB,84.99,"43,200",Black,,
G.Skill Trident Z5 RGB 32 GB,109.99,"56,400",White / Black,,
Corsair Vengeance 64 GB,219.99,"56,400",Black / Gray,,
Corsair Vengeance 32 GB,104.99,"56,000",Black,,
TEAMGROUP T-Force Delta RGB 16 GB,47.99,"43,600",Black,,
TEAMGROUP T-Force Vulcan 32 GB,102.99,"56,000",Black,,
G.Skill Ripjaws V 16 GB,43.99,"43,600",Black,,
G.Skill Trident Z5 RGB 48 GB,399.99,"58,400",Black,,
Corsair Vengeance RGB 32 GB,109.99,"55,200",White,,
TEAMGROUP T-Force Delta RGB 16 GB,47.99,"43,600",White,,
G.Skill Flare X5 64 GB,199.99,"56,000",Black,,
Corsair Vengeance RGB 64 GB,229.99,"56,000",White / Silver,,
