name,price,capacity,
Samsung 980 Pro,169.99,2000,
Kingston NV2,60.99,1000,
Samsung 970 Evo Plus,97.5,1000,
Samsung 990 Pro,318.35,4000,
Crucial P3 Plus,69.98,1000,
Samsung 980 Pro,106.13,1000,
Samsung 990 Pro,169.99,2000,
Crucial P3 Plus,117.99,2000,
Western Digital Black SN850X,156.99,2000,
Seagate Barracuda Compute,64.98,2000,
Western Digital Black SN850X,91.92,1000,
Mushkin Source HC,2302.98,16000,
Kingston NV2,118,2000,
Samsung 870 Evo,104.99,1000,
Western Digital Black SN770,84.15,1000,
TEAMGROUP MP33,36.99,512,
Sabrent Rocket 4 Plus,1189.99,8000,
Samsung 970 Evo Plus,69.94,500,
Crucial P3,60.99,1000,
Seagate IronWolf Pro,479.99,24000,
Samsung 990 Pro,110.08,1000,
Western Digital Blue SN580,71,1000,
Kingston NV2,42.99,500,
Western Digital Black SN770,138.82,2000,
Western Digital Black SN850X,309.99,4000,
Seagate BarraCuda,79.99,4000,
Samsung 970 Evo Plus,149.99,2000,
Western Digital Caviar Blue,39.18,1000,
Crucial P3 Plus,237.99,4000,
Intel 750,2488.87,1200,
Samsung 870 Evo,189.99,2000,
Silicon Power UD90,108.99,2000,
TEAMGROUP MP44L,64.98,1000,
Silicon Power A60,60.99,1000,
TEAMGROUP MP44L,114.99,2000,
TEAMGROUP MP33,61.99,1000,
Western Digital Blue SN580,124,2000,
Acer Predator GM7000,,2000,
Samsung 870 QVO,594.9,8000,
Crucial T700,426.99,4000,
Seagate BarraCuda,45,1000,
TEAMGROUP MP33,105.99,2000,
Samsung 980,89.99,1000,
Crucial T500,138.99,2000,
Crucial P3,51.6,500,
Western Digital Gold,599.99,24000,
Crucial T705,484.99,4000,
Samsung 990 EVO,89.99,1000,
Kingston KC3000,162.99,2048,
Samsung 990 Pro w/Heatsink,322.62,4000,
Seagate Barracuda Compute,129.99,8000,
Samsung 870 Evo,79.98,500,
Crucial T700,151.99,1000,
Kingston A400,27.99,240,
Samsung 980 Pro,89.99,500,
Crucial P3,123.99,2000,
SK Hynix Platinum P41,164.99,2000,
Crucial T500,79.98,1000,
MSI SPATIUM M482,131.98,2000,
Samsung 870 Evo,372.99,4000,
Lexar NM790,148.36,2000,
Lexar NM710,69.98,1000,
MSI SPATIUM M371,64.99,1000,
Western Digital Blue,64.98,2000,
Patriot P300,21.99,256,
Crucial T700,269.99,2000,
Corsair MP600 PRO NH,979.99,8000,
TEAMGROUP T-Force Vulcan Z,56.99,1000,
Samsung 990 EVO,155.99,2000,
Crucial MX500,87.74,1000,
Leven JS600,13.99,128,
Crucial P3 Plus,54.49,500,
Western Digital Green SN350,64.98,1000,
MSI SPATIUM M570 HS,199.99,2000,
Patriot P300,36.99,512,
Lexar NM790,91.38,1000,
Kingston KC3000,99.99,1024,
Western Digital Blue SN570,69.99,1000,
Crucial P5 Plus,192.77,2000,
Western Digital Blue SN570,43.93,500,
Lexar NM620,71.45,1000,
VisionTek QLC,1499.99,8000,
Acer Predator GM7000,84.99,1000,
Seagate BarraCuda,28,1000,
Sabrent Rocket 5,729.99,4000,
Samsung 980 Pro w/Heatsink,183.55,2000,
Samsung 990 Pro w/Heatsink,189.99,2000,
Western Digital WD_BLACK,139.99,4000,
Kingston A400,37.79,480,
Kingston NV2,31.99,250,
Kingston Fury Renegade,172.99,2000,
Patriot P300,58.99,1000,
MSI SPATIUM M480 PRO,84,1000,
Patriot P300,17.98,128,
Crucial MX500,159.99,2000,
Leven JPS800,59.99,1000,
Samsung 980 Pro w/Heatsink,119.99,1000,
Corsair MP600 PRO XT,969.99,8000,
Western Digital Black SN770,69.92,500,
TEAMGROUP T-Force Vulcan Z,30.99,512,
Seagate IronWolf Pro,101.91,4000,
Leven JPS600,101.99,2000,
Corsair Neutron XTi,,1920,
Samsung 980,73.98,500,
Kingston A400,61.99,960,
TEAMGROUP MS30,33.99,512,
Lexar NM790,259.99,4000,
Samsung 860 Evo,149.99,1000,
Seagate Exos X14,198.99,12000,
Samsung 970 Evo Plus,61.26,250,
Crucial MX500,53,500,
TEAMGROUP T-Force Vulcan Z,96.99,2000,
Silicon Power UD90,71.98,1000,
Silicon Power UD90,214.99,4000,
Crucial P3,240.75,4000,
Corsair MP600 CORE XT,139.99,2000,
TEAMGROUP MP44,123.99,2000,
Solidigm P41 Plus,69.99,1000,
Crucial T705 W/Heatsink,549.99,4000,
MSI SPATIUM M450,74.99,1000,
Toshiba MK3276GSX,12.99,320,
Corsair MP600 CORE XT,77.98,1000,
Silicon Power UD85,114.99,2000,
HP FX900,,1000,
Crucial T705,279.99,2000,
Crucial P5 Plus,138.75,1000,
Seagate SuperSpeed HDD,,1000,
Western Digital Blue,72.99,4000,
